Name,Affiliation ,Affiliation Link,Email,Verified Email Link,Citations (Total),Citations (Since 2019),h-index (Total),h-index (Since 2019) ,i10-index (Total),i10-index (Since 2019) ,Interest ,Google Scholar Link
Vuong Le,Deakin University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=10412436667236230217,Verified email at deakin.edu.au - Homepage,https://vuongle2.github.io/,4554,3739,21,19,30,27,Computer visionMachine learning,https://scholar.google.com/citations?hl=en&user=WjMGgVIAAAAJ
Hieu Pham,"xAI. Past: AugmentCode, Google Brain.",,Verified email at x.ai,,22678,20305,22,22,23,23,Machine Learning,https://scholar.google.com/citations?hl=en&user=0RvAVR4AAAAJ
Viet Quoc Pham,"Trinity College Dublin, The University of Dublin",https://scholar.google.com/citations?view_op=view_org&hl=en&org=3625276516933484551,Verified email at tcd.ie - Homepage,https://www.scss.tcd.ie/viet.pham/,13441,13323,50,49,104,101,Wireless AIEdge ComputingSecurity & PrivacyWireless CommunicationsMachine Learning,https://scholar.google.com/citations?hl=en&user=zKX-0LIAAAAJ
Hang Pham,Syracuse University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=10327480095728718436,Verified email at syr.edu,,6418,6359,38,38,110,109,Experimental High Energy PhysicsMachine Learning,https://scholar.google.com/citations?hl=en&user=aGBMhPcAAAAJ
Binh Thai Pham,"PhD, University of Transport Technology",,Verified email at utt.edu.vn,,5561,5135,31,31,46,46,Natural Hazards Prediction and AssessmentGeotechnical EngineeringGISMachine Learning,https://scholar.google.com/citations?hl=en&user=8ZjMaG8AAAAJ
Thang V Pham,"Amsterdam UMC & Vietnam National University, Hanoi",,Verified email at amsterdamumc.nl,,4838,2892,42,32,89,75,computational proteomicsmachine learningcancer research,https://scholar.google.com/citations?hl=en&user=w7L-jNQAAAAJ
Philip Pham,Google DeepMind,https://scholar.google.com/citations?view_op=view_org&hl=en&org=6518679690484165796,Verified email at google.com - Homepage,http://www.phillypham.com/,3516,3440,10,9,10,9,mathstatisticsmachine learningbiology,https://scholar.google.com/citations?hl=en&user=BAFuPSkAAAAJ
"Tien Dat Pham,  MSc and PhD","Macquarie University Research Fellow (MQRF), School of Natural Sciences, Sydney, Australia",https://scholar.google.com/citations?view_op=view_org&hl=en&org=15211955218694959468,Verified email at mq.edu.au - Homepage,https://sites.google.com/view/tiendatpham/home,3451,3294,29,28,42,40,Remote SensingBlue CarbonMangrovesMachine LearningEcosystem Services,https://scholar.google.com/citations?hl=en&user=i9sIr3YAAAAJ
Trung T. Pham,Principal CV/ML Scientist at NVIDIA,https://scholar.google.com/citations?view_op=view_org&hl=en&org=15729607608264555120,Verified email at nvidia.com - Homepage,https://trungtpham.github.io/,2935,2387,25,23,39,34,Computer VisionMachine LearningAutonomous DrivingVisual Perception,https://scholar.google.com/citations?hl=en&user=Rfj56F4AAAAJ
Trang Pham,"Software Engineer, Google",https://scholar.google.com/citations?view_op=view_org&hl=en&org=6518679690484165796,Verified email at google.com - Homepage,https://github.com/trangptm,2106,1843,13,12,14,13,Machine learningbioinformatics,https://scholar.google.com/citations?hl=en&user=JuFjX_gAAAAJ
Hai V. Pham,"Associate  Professor, Hanoi University of Science and Technology",https://scholar.google.com/citations?view_op=view_org&hl=en&org=9505930634106041532,Verified email at soict.hust.edu.vn - Homepage,https://users.soict.hust.edu.vn/haipv/,1724,1381,23,18,47,41,Artificial IntelligenceBig DataKnowledge-basedFuzzy SystemsMachine learning,https://scholar.google.com/citations?hl=en&user=C0XxcJcAAAAJ
Hoang Anh Dau,"Machine Learning Research Engineer, Uber",,Verified email at uber.com - Homepage,https://www.cs.ucr.edu/~hdau001/,3323,3144,14,14,15,14,Data Mining Data Science Time Series Machine Learning,https://scholar.google.com/citations?hl=en&user=IcOQfRIAAAAJ
