Name,Affiliation ,Affiliation Link,Email,Verified Email Link,Citations (Total),Citations (Since 2019),h-index (Total),h-index (Since 2019) ,i10-index (Total),i10-index (Since 2019) ,Interest ,Google Scholar Link
Hung Bui,"Research Scientist, Google DeepMind",https://scholar.google.com/citations?view_op=view_org&hl=en&org=6518679690484165796,Verified email at google.com - Homepage,https://sites.google.com/site/buihhung/,8326,3985,42,29,102,62,Artificial IntelligenceProbabilistic InferenceMachine Learning...,https://scholar.google.com/citations?hl=en&user=mDLwSZAAAAAJ
Ha H. Bui,"Professor of Civil Engineering, ARC Future Fellow, Monash University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=3918598370877205258,Verified email at monash.edu - Homepage,https://www.monash.edu/engineering/hahbui,5894,4646,40,39,89,79,Computational geomechanicsConstitutive modellingGeomechanicsParticle methodsSPH,https://scholar.google.com/citations?hl=en&user=MBYnTHEAAAAJ
Tien Dai Bui,"Professor of Computer Science, Concordia University",,No verified email - Homepage,https://users.encs.concordia.ca/~bui/,5570,1233,37,21,98,32,Computer visionmachine learningimage processing,https://scholar.google.com/citations?hl=en&user=MwRghikAAAAJ
Trung H. Bui,"Senior Research Scientist & Research Manager, Adobe Research",,Verified email at adobe.com - Homepage,http://sites.google.com/site/trungbuistanford,4315,3835,31,29,84,74,DialogNatural Language ProcessingMachine Learning,https://scholar.google.com/citations?hl=en&user=FpFTduYAAAAJ
Tan Bui-Thanh,Associate Professor. The Department of Aerospace Engineering and Engineering Mechanics,,Verified email at oden.utexas.edu - Homepage,https://users.oden.utexas.edu/~tanbui/,4260,2359,29,24,50,43,Scientific Deep LearningComputational Mathinverse problemsand uncertainty quantification,https://scholar.google.com/citations?hl=en&user=Eq2PgAIAAAAJ
Vo V. Anh,"Emeritus Professor, Queensland University of Technology, GPO Box 2434, Brisbane, Qld 4001, Australia",https://scholar.google.com/citations?view_op=view_org&hl=en&org=4361879795951977785,Verified email at qut.edu.au - Homepage,https://www.qut.edu.au/about/our-people/academic-profiles/v.anh,16466,6116,65,38,230,119,stochastic analysisstochastic modellingcomputational mathematics,https://scholar.google.com/citations?hl=en&user=xJ4yHgsAAAAJ
Ba Tuong Vo,Curtin University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=12204274328548754159,Verified email at curtin.edu.au - Homepage,http://ba-tuong.vo-au.com/,15402,7793,49,39,95,69,Bayesian EstimationRandom SetsTarget Tracking,https://scholar.google.com/citations?hl=en&user=GkFrtg4AAAAJ
Trung Q. Duong,"Canada Excellence Research Chair at Memorial University, adjunct Prof. at Queen's University Belfast",https://scholar.google.com/citations?view_op=view_org&hl=en&org=17452456186544668394,Verified email at mun.ca - Homepage,https://sites.google.com/site/trungqduong/,20715,13542,78,62,323,253,Quantum Machine LearningQuantum ComputingQuantum CommunicationsReal-time Optimization6G,https://scholar.google.com/citations?hl=en&user=PwsDdmEAAAAJ
Thanh N. Truong,University of Utah,https://scholar.google.com/citations?view_op=view_org&hl=en&org=10124793133719145342,Verified email at utah.edu - Homepage,http://chem.utah.edu/directory/truong/index.php,12642,2199,62,21,162,56,computational chemistrycyberinfrasture,https://scholar.google.com/citations?hl=en&user=Xcq6GlgAAAAJ
Luu Anh Tuan,"Assistant Professor, Nanyang Technological University, Singapore",https://scholar.google.com/citations?view_op=view_org&hl=en&org=3012140508424117850,Verified email at ntu.edu.sg - Homepage,https://tuanluu.github.io/,7022,6602,38,33,71,69,AINLPLarge Language ModelRobustness & TrustworthyInformation Extraction & Semantics,https://scholar.google.com/citations?hl=en&user=d6ixOGYAAAAJ
Loi Luu,Cofounder at Kyber Network,,Verified email at kyber.network - Homepage,https://loiluu.com/,5303,4544,9,9,9,9,CryptocurrencyDistributed Consensus AlgorithmsApplied Cryptography,https://scholar.google.com/citations?hl=en&user=Z2gOqyMAAAAJ
Khoa Luu,"Assistant Professor, EECS, University of Arkansas",https://scholar.google.com/citations?view_op=view_org&hl=en&org=9242586794943470633,Verified email at uark.edu - Homepage,http://csce.uark.edu/~khoaluu/,4566,3507,36,32,76,65,Smart HealthBiometricsAutonomous DrivingQuantum Machine LearningPrecision Agriculture,https://scholar.google.com/citations?hl=en&user=JPAl8-gAAAAJ
Thien Huynh-The,"Senior Member IEEE, Ho Chi Minh City University of Technology and Education",,Verified email at hcmute.edu.vn - Homepage,https://sites.google.com/site/thienhuynhthe/home,5909,5762,38,36,71,69,Signal processingImage processingComputer VisionWireless communicationsDeep learning,https://scholar.google.com/citations?hl=en&user=_MLGtqEAAAAJ
Tien Huynh,IBM Thomas J. Watson Research Center,,Verified email at us.ibm.com,,9345,4110,35,26,70,47,,https://scholar.google.com/citations?hl=en&user=iCOwqmoAAAAJ
Vân Anh Huynh-Thu,University of Liège,,Verified email at uliege.be - Homepage,http://www.montefiore.ulg.ac.be/~huynh-thu,8822,6867,18,17,22,18,Machine learningBioinformatics,https://scholar.google.com/citations?hl=en&user=xBr1MFQAAAAJ
